Environment,Grid Size,Number of Human Models,Obstacle Percentage,Environment Type,Determinizing MDP Time (s),Finding Bottlenecks Time (s),Finding Maximal Achievable With Pruning (s),Finding Maximal Achievable Without Pruning (s),Computing Policy With Pruning (s),Computing Policy Without Pruning (s),Total Runtime With Pruning (s),Total Runtime Without Pruning (s),Runtime Improvement (%),Query Count (Strategic VI),Query Count (Info Gain),Query Count (Transition),Query Count (Proximity),Query Count (Frequency),Query Count (Random),Query Count (Query All),Human Bottlenecks,Initial State Space,Initial Actions
Overcooked,n/a,n/a,N/A,Recipe Game,0.000 ± 0.000,0.027 ± 0.000,0.003 ± 0.000,0.003 ± 0.000,14.539 ± 0.266,14.539 ± 0.266,14.568 ± 0.266,14.568 ± 0.266,0.0 ± 0.0,9.47 ± 1.08,4.63 ± 0.23,8.99 ± 1.11,4.51 ± 0.37,4.51 ± 0.37,8.36 ± 0.89,17.00 ± 0.00,17.0 ± 0.0,38417,6
Grid,4,10,0.1,2D Grid,0.002 ± 0.000,0.003 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.48 ± 0.63,3.30 ± 0.52,3.48 ± 0.63,3.04 ± 0.46,3.30 ± 0.52,3.52 ± 0.57,6.00 ± 0.89,6.0 ± 0.9,16,20
Grid,4,10,0.15,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.58 ± 0.24,3.12 ± 0.48,3.58 ± 0.24,3.26 ± 0.27,3.12 ± 0.48,3.40 ± 0.33,6.60 ± 0.49,6.6 ± 0.5,16,19
Grid,4,10,0.2,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.44 ± 0.94,2.74 ± 0.62,3.36 ± 0.92,3.04 ± 0.68,2.78 ± 0.62,2.98 ± 0.62,6.40 ± 1.74,6.4 ± 1.7,16,19
Puddle,4,10,0.1,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,2.70 ± 0.41,2.70 ± 0.41,2.70 ± 0.41,2.82 ± 0.64,2.70 ± 0.41,2.72 ± 0.55,4.80 ± 0.98,4.8 ± 1.0,16,20
Puddle,4,10,0.15,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.28 ± 0.50,3.22 ± 0.59,3.28 ± 0.50,3.20 ± 0.64,3.22 ± 0.59,3.40 ± 0.21,6.40 ± 0.80,6.4 ± 0.8,16,18
Puddle,4,10,0.2,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.004 ± 0.000,0.004 ± 0.000,0.0 ± 0.0,2.78 ± 0.93,2.22 ± 0.61,2.78 ± 0.93,2.28 ± 0.68,2.28 ± 0.66,2.94 ± 1.05,5.20 ± 1.72,5.2 ± 1.7,16,18
Rock,4,10,0.1,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.48 ± 0.35,3.34 ± 0.53,3.48 ± 0.35,2.98 ± 0.67,3.34 ± 0.53,3.00 ± 0.38,5.80 ± 0.75,5.8 ± 0.7,16,20
Rock,4,10,0.15,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,2.82 ± 0.43,2.70 ± 0.30,2.82 ± 0.43,2.78 ± 0.35,2.70 ± 0.30,2.78 ± 0.49,5.20 ± 1.17,5.2 ± 1.2,16,19
Rock,4,10,0.2,2D Grid,0.001 ± 0.000,0.002 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.001,0.005 ± 0.001,0.0 ± 0.0,3.56 ± 0.87,3.02 ± 0.75,3.38 ± 0.67,3.02 ± 0.73,3.02 ± 0.75,2.94 ± 0.62,6.40 ± 1.36,6.4 ± 1.4,16,18
Four Rooms,4,10,0.0,2D Grid,0.001 ± 0.000,0.003 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.005 ± 0.000,0.005 ± 0.000,0.0 ± 0.0,3.32 ± 0.62,3.32 ± 0.62,3.32 ± 0.62,3.36 ± 0.67,3.32 ± 0.62,3.96 ± 1.09,6.00 ± 1.10,6.0 ± 1.1,16,17
Grid,4,50,0.1,2D Grid,0.002 ± 0.000,0.014 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.017 ± 0.000,0.017 ± 0.000,0.0 ± 0.0,4.40 ± 0.44,4.15 ± 0.42,4.40 ± 0.44,4.16 ± 0.37,4.15 ± 0.42,4.36 ± 0.27,7.80 ± 0.40,7.8 ± 0.4,16,20
Grid,4,50,0.15,2D Grid,0.002 ± 0.000,0.013 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.016 ± 0.000,0.016 ± 0.000,0.0 ± 0.0,4.56 ± 0.31,3.43 ± 0.43,4.48 ± 0.31,3.52 ± 0.53,3.43 ± 0.43,4.48 ± 0.33,8.20 ± 0.40,8.2 ± 0.4,16,20
Grid,4,50,0.2,2D Grid,0.002 ± 0.000,0.012 ± 0.001,0.003 ± 0.004,0.003 ± 0.004,N/A,N/A,0.016 ± 0.004,0.016 ± 0.004,0.0 ± 0.0,4.67 ± 0.45,3.34 ± 0.29,4.54 ± 0.25,3.40 ± 0.29,3.38 ± 0.28,4.64 ± 0.64,8.00 ± 1.55,8.0 ± 1.5,16,18
Puddle,4,50,0.1,2D Grid,0.002 ± 0.000,0.015 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.018 ± 0.001,0.018 ± 0.001,0.0 ± 0.0,4.16 ± 0.27,3.96 ± 0.26,4.16 ± 0.27,4.68 ± 0.16,3.96 ± 0.26,4.42 ± 0.27,7.80 ± 0.40,7.8 ± 0.4,16,20
Puddle,4,50,0.15,2D Grid,0.002 ± 0.000,0.013 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.016 ± 0.000,0.016 ± 0.000,0.0 ± 0.0,4.50 ± 0.29,3.70 ± 0.12,4.50 ± 0.29,3.86 ± 0.29,3.70 ± 0.12,4.73 ± 0.25,8.60 ± 0.49,8.6 ± 0.5,16,20
Puddle,4,50,0.2,2D Grid,0.002 ± 0.000,0.012 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.015 ± 0.001,0.015 ± 0.001,0.0 ± 0.0,4.62 ± 0.64,3.32 ± 0.51,4.32 ± 0.45,3.34 ± 0.44,3.32 ± 0.51,4.64 ± 0.29,8.40 ± 0.49,8.4 ± 0.5,16,18
Rock,4,50,0.1,2D Grid,0.002 ± 0.000,0.014 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.017 ± 0.000,0.017 ± 0.000,0.0 ± 0.0,4.32 ± 0.32,4.39 ± 0.29,4.32 ± 0.32,4.30 ± 0.25,4.39 ± 0.29,4.47 ± 0.13,8.20 ± 0.40,8.2 ± 0.4,16,20
Rock,4,50,0.15,2D Grid,0.002 ± 0.000,0.013 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.016 ± 0.000,0.016 ± 0.000,0.0 ± 0.0,4.34 ± 0.43,3.71 ± 0.42,4.17 ± 0.41,3.91 ± 0.43,3.71 ± 0.42,4.42 ± 0.41,7.60 ± 0.80,7.6 ± 0.8,16,19
Rock,4,50,0.2,2D Grid,0.002 ± 0.000,0.012 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.015 ± 0.000,0.015 ± 0.000,0.0 ± 0.0,4.41 ± 0.38,3.32 ± 0.25,4.41 ± 0.38,3.49 ± 0.34,3.32 ± 0.25,4.56 ± 0.33,8.20 ± 0.75,8.2 ± 0.7,16,18
Four Rooms,4,50,0.0,2D Grid,0.002 ± 0.000,0.013 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.015 ± 0.001,0.015 ± 0.001,0.0 ± 0.0,4.34 ± 0.31,4.34 ± 0.31,4.34 ± 0.31,4.35 ± 0.32,4.34 ± 0.31,4.22 ± 0.44,8.00 ± 0.00,8.0 ± 0.0,16,17
Grid,4,100,0.1,2D Grid,0.002 ± 0.000,0.028 ± 0.001,0.002 ± 0.001,0.002 ± 0.001,N/A,N/A,0.032 ± 0.002,0.032 ± 0.002,0.0 ± 0.0,4.46 ± 0.19,4.08 ± 0.51,4.46 ± 0.19,4.17 ± 0.37,4.08 ± 0.51,4.44 ± 0.32,8.20 ± 0.40,8.2 ± 0.4,16,20
Grid,4,100,0.15,2D Grid,0.002 ± 0.000,0.025 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.028 ± 0.001,0.028 ± 0.001,0.0 ± 0.0,4.64 ± 0.22,3.79 ± 0.22,4.64 ± 0.22,3.79 ± 0.20,3.79 ± 0.22,4.55 ± 0.13,7.80 ± 0.40,7.8 ± 0.4,16,19
Grid,4,100,0.2,2D Grid,0.002 ± 0.000,0.024 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.026 ± 0.001,0.026 ± 0.001,0.0 ± 0.0,4.22 ± 0.40,3.46 ± 0.38,4.16 ± 0.48,3.59 ± 0.43,3.46 ± 0.38,4.07 ± 0.39,7.00 ± 0.89,7.0 ± 0.9,16,18
Puddle,4,100,0.1,2D Grid,0.002 ± 0.000,0.030 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.033 ± 0.001,0.033 ± 0.001,0.0 ± 0.0,4.52 ± 0.32,4.21 ± 0.34,4.52 ± 0.32,4.28 ± 0.40,4.21 ± 0.34,4.42 ± 0.25,8.00 ± 0.00,8.0 ± 0.0,16,20
Puddle,4,100,0.15,2D Grid,0.002 ± 0.000,0.026 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.029 ± 0.000,0.029 ± 0.000,0.0 ± 0.0,4.40 ± 0.24,3.82 ± 0.28,4.40 ± 0.24,3.69 ± 0.23,3.82 ± 0.28,4.41 ± 0.22,7.80 ± 0.40,7.8 ± 0.4,16,19
Puddle,4,100,0.2,2D Grid,0.002 ± 0.000,0.023 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.026 ± 0.001,0.026 ± 0.001,0.0 ± 0.0,4.26 ± 0.39,3.05 ± 0.17,4.19 ± 0.27,3.16 ± 0.09,3.04 ± 0.18,4.23 ± 0.40,7.60 ± 0.80,7.6 ± 0.8,16,18
Rock,4,100,0.1,2D Grid,0.002 ± 0.000,0.028 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.031 ± 0.001,0.031 ± 0.001,0.0 ± 0.0,4.32 ± 0.06,4.34 ± 0.10,4.32 ± 0.06,4.27 ± 0.18,4.34 ± 0.10,4.61 ± 0.28,8.00 ± 0.63,8.0 ± 0.6,16,20
Rock,4,100,0.15,2D Grid,0.002 ± 0.000,0.025 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.028 ± 0.001,0.028 ± 0.001,0.0 ± 0.0,4.50 ± 0.24,3.80 ± 0.27,4.50 ± 0.24,3.83 ± 0.45,3.80 ± 0.27,4.53 ± 0.18,8.00 ± 0.00,8.0 ± 0.0,16,19
Rock,4,100,0.2,2D Grid,0.002 ± 0.000,0.024 ± 0.001,0.001 ± 0.001,0.001 ± 0.001,N/A,N/A,0.027 ± 0.001,0.027 ± 0.001,0.0 ± 0.0,4.70 ± 0.44,3.27 ± 0.29,4.49 ± 0.22,3.18 ± 0.30,3.24 ± 0.32,4.26 ± 0.21,8.00 ± 0.89,8.0 ± 0.9,16,19
Four Rooms,4,100,0.0,2D Grid,0.002 ± 0.000,0.025 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.027 ± 0.001,0.027 ± 0.001,0.0 ± 0.0,4.48 ± 0.16,4.48 ± 0.16,4.48 ± 0.16,4.27 ± 0.09,4.48 ± 0.16,4.17 ± 0.12,8.00 ± 0.00,8.0 ± 0.0,16,17
Grid,10,10,0.1,2D Grid,0.010 ± 0.001,0.021 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.031 ± 0.002,0.031 ± 0.002,0.0 ± 0.0,3.20 ± 0.30,3.26 ± 0.24,3.20 ± 0.30,3.28 ± 0.58,3.26 ± 0.24,3.64 ± 0.55,6.20 ± 0.98,6.2 ± 1.0,100,20
Grid,10,10,0.15,2D Grid,0.010 ± 0.002,0.020 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.031 ± 0.002,0.031 ± 0.002,0.0 ± 0.0,3.64 ± 0.81,3.64 ± 0.81,3.64 ± 0.81,3.34 ± 0.77,3.64 ± 0.81,3.66 ± 1.10,6.40 ± 1.20,6.4 ± 1.2,100,20
Grid,10,10,0.2,2D Grid,0.009 ± 0.001,0.019 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.029 ± 0.001,0.029 ± 0.001,0.0 ± 0.0,3.42 ± 0.56,3.00 ± 0.20,3.42 ± 0.56,3.30 ± 0.25,3.00 ± 0.20,3.12 ± 0.56,6.20 ± 0.75,6.2 ± 0.7,100,20
Puddle,10,10,0.1,2D Grid,0.011 ± 0.001,0.020 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.032 ± 0.001,0.032 ± 0.001,0.0 ± 0.0,3.78 ± 0.45,3.82 ± 0.44,3.78 ± 0.45,3.36 ± 0.38,3.82 ± 0.44,3.64 ± 0.65,6.60 ± 0.49,6.6 ± 0.5,100,20
Puddle,10,10,0.15,2D Grid,0.010 ± 0.001,0.020 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.031 ± 0.002,0.031 ± 0.002,0.0 ± 0.0,3.30 ± 0.51,3.24 ± 0.48,3.30 ± 0.51,3.20 ± 0.55,3.24 ± 0.48,4.10 ± 0.52,7.00 ± 0.89,7.0 ± 0.9,100,20
Puddle,10,10,0.2,2D Grid,0.009 ± 0.001,0.020 ± 0.000,0.001 ± 0.001,0.001 ± 0.001,N/A,N/A,0.030 ± 0.002,0.030 ± 0.002,0.0 ± 0.0,3.22 ± 0.51,2.92 ± 0.35,3.14 ± 0.54,2.94 ± 0.49,2.92 ± 0.35,2.94 ± 0.61,6.40 ± 1.85,6.4 ± 1.9,100,20
Rock,10,10,0.1,2D Grid,0.011 ± 0.001,0.021 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.032 ± 0.002,0.032 ± 0.002,0.0 ± 0.0,3.56 ± 0.64,3.64 ± 0.60,3.56 ± 0.64,3.50 ± 0.52,3.64 ± 0.60,3.94 ± 0.43,6.80 ± 0.75,6.8 ± 0.7,100,20
Rock,10,10,0.15,2D Grid,0.010 ± 0.001,0.020 ± 0.000,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.031 ± 0.002,0.031 ± 0.002,0.0 ± 0.0,3.26 ± 0.40,3.06 ± 0.59,3.26 ± 0.40,3.50 ± 0.77,3.06 ± 0.59,3.78 ± 0.78,6.40 ± 0.49,6.4 ± 0.5,100,20
Rock,10,10,0.2,2D Grid,0.010 ± 0.000,0.020 ± 0.001,0.001 ± 0.000,0.001 ± 0.000,N/A,N/A,0.030 ± 0.001,0.030 ± 0.001,0.0 ± 0.0,3.22 ± 0.23,3.22 ± 0.23,3.22 ± 0.23,3.50 ± 0.33,3.22 ± 0.23,3.64 ± 0.46,6.20 ± 0.40,6.2 ± 0.4,100,20
Four Rooms,10,10,0.0,2D Grid,0.010 ± 0.001,0.022 ± 0.001,0.000 ± 0.000,0.000 ± 0.000,N/A,N/A,0.033 ± 0.002,0.033 ± 0.002,0.0 ± 0.0,2.84 ± 0.62,2.84 ± 0.62,2.84 ± 0.62,3.02 ± 0.77,2.84 ± 0.62,2.86 ± 0.62,5.00 ± 1.10,5.0 ± 1.1,100,20
